NodeA,NodeB,Weights
73,458,1.0
73,805,0.0
74,140,1.0
74,10650,1.0
74,10396,1.0
74,10349,1.0
74,10866,1.0
74,938,1.0
74,46,1.0
74,12479,1.0
74,11368,1.0
74,11789,1.0
75,452,1.0
75,5188,1.0
75,420,1.0
75,407,1.0
75,713,1.0
75,436,1.0
75,4467,1.0
75,948,0.0
75,3965,0.0
75,591,0.0
76,676,1.0
76,2561,1.0
76,1796,1.0
76,3153,1.0
76,3501,1.0
76,2352,1.0
76,3156,1.0
76,3528,1.0
76,3144,1.0
76,3218,1.0
77,4131,1.0
77,5618,1.0
77,10041,1.0
77,5653,1.0
77,4709,1.0
77,10002,1.0
77,4696,1.0
77,2359,1.0
77,177,1.0
77,9499,1.0
78,768,1.0
78,448,1.0
78,761,1.0
78,184,1.0
78,963,1.0
78,648,1.0
78,857,1.0
78,48,1.0
78,9795,1.0
78,529,0.0
79,5028,1.0
79,4465,1.0
79,620,1.0
79,775,1.0
79,2380,1.0
79,3866,1.0
79,9603,1.0
79,3711,1.0
79,9890,0.0
79,4511,0.0
80,5429,1.0
80,5430,1.0
80,165,1.0
80,4267,1.0
80,585,1.0
80,9250,1.0
80,93,1.0
80,4192,1.0
80,216,1.0
80,630,1.0
81,583,1.0
81,43,1.0
81,442,1.0
81,919,1.0
81,9540,1.0
81,9517,1.0
81,1039,1.0
81,755,1.0
81,9719,0.0
81,9929,0.0
82,11297,1.0
82,12378,1.0
82,10673,1.0
82,990,1.0
82,234,1.0
82,246,1.0
82,11507,1.0
82,12908,1.0
82,836,0.0
82,12091,0.0
83,593,1.0
83,4022,1.0
83,989,1.0
83,378,1.0
83,4489,1.0
83,3925,1.0
83,9066,1.0
83,9528,1.0
83,9906,1.0
83,329,1.0
84,1716,1.0
84,99,1.0
84,9623,1.0
84,1033,1.0
84,2983,1.0
84,9350,1.0
84,1721,1.0
84,1749,1.0
84,423,1.0
84,2422,1.0
85,516,1.0
85,6995,1.0
85,5575,1.0
85,223,1.0
85,24,1.0
85,6631,1.0
85,388,1.0
85,289,0.0
85,1856,0.0
85,5112,0.0
86,750,1.0
86,623,1.0
86,13150,1.0
86,250,1.0
86,11963,1.0
86,106,1.0
86,11509,1.0
86,840,1.0
86,352,0.0
86,11499,0.0
87,1016,1.0
87,354,1.0
87,3792,1.0
87,9994,1.0
87,30,1.0
87,3650,1.0
87,5719,1.0
87,4161,1.0
87,1868,0.0
87,9246,0.0
88,476,1.0
88,9876,1.0
88,6461,1.0
88,4372,1.0
88,5582,1.0
88,3949,1.0
88,4778,1.0
88,5185,1.0
88,8818,0.0
88,760,0.0
89,812,1.0
89,4539,1.0
89,334,1.0
89,846,1.0
89,413,1.0
89,4400,1.0
89,33,1.0
89,357,1.0
89,372,0.0
89,298,0.0
90,2,1.0
90,13125,1.0
90,1000,1.0
90,502,1.0
90,580,1.0
90,12279,1.0
90,12918,1.0
90,11945,1.0
90,495,1.0
90,10546,1.0
91,25,1.0
91,955,1.0
91,392,1.0
91,1014,1.0
91,276,1.0
91,285,1.0
91,262,1.0
91,517,1.0
91,435,0.0
91,596,0.0
92,172,1.0
92,204,1.0
92,11822,1.0
92,10617,1.0
92,786,1.0
92,10971,1.0
92,627,1.0
92,12172,1.0
92,11902,0.0
92,200,0.0
93,830,1.0
93,449,1.0
93,767,1.0
93,630,1.0
93,216,1.0
93,596,1.0
93,66,1.0
93,722,1.0
93,585,0.0
93,162,0.0
94,13084,1.0
94,10646,1.0
94,207,1.0
94,12282,1.0
94,11160,1.0
94,5303,1.0
94,11357,1.0
94,9379,1.0
94,6668,0.0
94,12180,0.0
95,10528,1.0
95,11799,1.0
95,12932,1.0
95,10906,1.0
95,12698,1.0
95,13086,1.0
95,12523,1.0
95,12200,1.0
95,11522,0.0
95,12247,0.0
96,864,1.0
96,660,1.0
